"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"2022-10-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 061022 ESCOTA, 4 PAIEM MANDELIEU LA    CARTE   4974********4225";"-12.80";"€";"-12.80";"-";"Automobile > Péage";"Y";"";"N";"6";"6";"0"
"2022-10-07";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 061022 MERCHANT       CARTE   4974********4225";"-53.78";"€";"-53.78";"-";"Alimentation > Supermarché";"Y";"";"N";"7";"7";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 061022 MERCHANT  PAYLI2090401/   CARTE   4974********4225";"-4.76";"€";"-4.76";"-";"Divers > Achat Divers";"Y";"";"N";"8";"8";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 081022 MERCHANT       CARTE   4974********4225";"-8.80";"€";"-8.80";"-";"Alimentation > Restaurant";"Y";"";"N";"9";"9";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_235";"DU 031022 MERCHANT           PLAISIR         CARTE   4974********4225";"-27.19";"€";"-27.19";"-";"Divers > Achat Divers";"Y";"";"N";"10";"10";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_230";"DU 061022 FORWARD2ME LTD  CARTE   4974********4225                GBR";"-34.88";"€";"-34.88";"-";"Informatique";"Y";"";"N";"11";"11";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 081022 MERCHANT      PARIS           CARTE   4974********4225";"-44.50";"€";"-44.50";"-";"Soins > Esthétique";"Y";"";"N";"12";"12";"0"
"2022-10-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 091022 MERCHANT      CARTE   4974********4225";"-87.97";"€";"-87.97";"-";"Maison > Eau";"Y";"";"N";"13";"13";"0"
"2022-10-11";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 101022 MERCHANT       CARTE   4974********4225";"-10.30";"€";"-10.30";"-";"Alimentation > Restaurant";"Y";"";"N";"14";"14";"0"
"2022-10-11";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 061022 AMAZON PAYMENTS PAYLI2441535/   CARTE   4974********4225";"-21.36";"€";"-21.36";"-";"Alimentation > Épicerie";"Y";"";"N";"15";"15";"0"
"2022-10-11";"Bank_001";"Account_001";"";"Débit";"Payee_230";"DU 101022 MERCHANT      PARIS           CARTE   4974********4225";"-133.50";"€";"-133.50";"-";"Informatique";"Y";"";"N";"16";"16";"0"
"2022-10-12";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 081022 AMAZON PAYMENTS PAYLI2441535/   CARTE   4974********4225";"-6.59";"€";"-6.59";"-";"Divers > Achat Divers";"Y";"";"N";"17";"17";"0"
"2022-10-12";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 111022 WWW.GREENSUSHI. 00 LOCATION_006       CARTE   4974********4225";"-20.40";"€";"-20.40";"-";"Alimentation > Restaurant";"Y";"";"N";"18";"18";"0"
"2022-10-12";"Bank_001";"Account_001";"";"Crédit";"Payee_003";"/DE SOGEC GESTION N-VIRXXXXXXXX /MOTIF XXXXXXXXXX N-0020248149 EB24 JUSQU A";"49.00";"€";"49.00";"+";"Maison > Internet";"Y";"";"N";"19";"19";"0"
"2022-10-13";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 121022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"20";"20";"0"
"2022-10-13";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 121022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"21";"21";"0"
